"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\register\widgets\next_button.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 3, 54
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\type_of_register\type_of_register.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 10, 66
"d:\flutter_projects\main\flutter-full-uber-clone\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\flutter_projects\main\flutter-full-uber-clone\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\flutter_projects\main\flutter-full-uber-clone\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\flutter_projects\main\flutter-full-uber-clone\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\flutter_projects\main\flutter-full-uber-clone\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\flutter_projects\main\flutter-full-uber-clone\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 4, 31
"d:\flutter_projects\main\flutter-full-uber-clone\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\flutter_projects\main\flutter-full-uber-clone\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\flutter_projects\main\flutter-full-uber-clone\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"d:\flutter_projects\main\flutter-full-uber-clone\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\flutter_projects\main\flutter-full-uber-clone\pubspec.yaml", "YAML", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 9, 115
"d:\flutter_projects\main\flutter-full-uber-clone\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 6, 30
